inter_id,source,target,interaction,tissue_dataset,tau_source,tau_target,inter_tau,pairs_type,network_type,metastasis_dataset,signal,value,stat,pval,pval_corr,cancer_entropy,metastasis_entropy,is_curated
321,MMP7,FAS,6447.0,gtex,0.847,0.476,0.847,frequency,genecalls,autopsy,1.0,6350.0,MWU_ratio,0.0046797522498902,0.0249945977720115,2.861282937032903,2.952246631372164,no
398,FGF14,PDGFRB,3834.0,gtex,0.778,0.35,0.778,frequency,genecalls,autopsy,1.0,6093.0,MWU_ratio,0.0001602898942748,0.0025378689166849,2.5733009703333543,2.062874285111209,no
398,FGF14,PDGFRB,3834.0,gtex,0.778,0.35,0.778,frequency,genecalls,hcmdb,1.0,2072.0,MWU_ratio,0.001266020002519,0.0324034923520549,2.42789093044253,2.2200177380251853,no
863,EGFR,IGF1R,3385.0,gtex,0.415,0.315,0.415,frequency,genecalls,hcmdb,-1.0,-1003.0,MWU_ratio,0.0021278019963776,0.0389367879337134,2.825526512336517,2.7019711555665777,yes
898,FGF14,IGF1R,3831.0,gtex,0.778,0.315,0.778,frequency,genecalls,autopsy,1.0,5527.0,MWU_ratio,0.0004638263061117,0.005027301549092,2.5364670196993724,2.044223508027138,no
898,FGF14,IGF1R,3831.0,gtex,0.778,0.315,0.778,frequency,genecalls,hcmdb,1.0,1997.0,MWU_ratio,0.0014427866683978,0.0336880116435629,2.394598780829489,2.1764462990364044,no
901,FGF13,IGF1R,3819.0,gtex,0.666,0.315,0.666,frequency,genecalls,autopsy,-1.0,-6925.0,MWU_ratio,0.0024789017603274,0.0160591519039876,2.719443925901284,2.845615981773265,no
903,ITGB3,IGF1R,5624.0,gtex,0.611,0.315,0.611,frequency,genecalls,hcmdb,-1.0,-1855.0,MWU_ratio,0.0007024107311439,0.0214057620479339,2.7646605699641755,2.6380225454369968,no
1189,IGF1R,MUC1,4963.0,gtex,0.315,0.632,0.632,frequency,genecalls,hcmdb,-1.0,-1836.0,MWU_ratio,0.0003760560211529,0.0128055250333457,2.7697551312369386,2.6387944100018674,yes
1197,ERBB4,MUC1,3587.0,gtex,0.641,0.632,0.641,frequency,genecalls,autopsy,-1.0,-6997.0,MWU_ratio,0.0015483778807719,0.0112391126471715,2.721799982115746,2.646267760174092,yes
1649,THBS4,ITGB4,8655.0,gtex,0.611,0.504,0.611,frequency,genecalls,hcmdb,-1.0,-1740.0,MWU_ratio,0.0018517014091497,0.0364385061217599,2.7660891986188814,2.636147070010401,no
2001,EGFR,CD33,3360.0,gtex,0.415,0.708,0.708,frequency,genecalls,autopsy,1.0,8371.0,MWU_ratio,2.1486622189615146e-07,1.1363061285854976e-05,2.5733009703333543,2.062874285111209,yes
